calibrator,cohort,k,n_k,base_rate_k,mean_pred,auc,brier,ece,mce,bias
isotonic,fixed,11,259,0.7027027027027027,0.6738482239188998,0.9019195090623662,0.11490666833674205,0.042233227722159546,0.12126701550210797,-0.028854478783803053
isotonic,fixed,12,251,0.6932270916334662,0.6766529330920907,0.8966263621436035,0.12338239940997087,0.049653977165942456,0.17791108368265185,-0.016574158541375374
beta,variable,1,1888,0.3045550847457627,0.28842274797966583,0.9373714361402695,0.0731565430895299,0.028900052283389294,0.18039220934905098,-0.016132336766096857
beta,variable,2,1883,0.30377057886351566,0.287013582533275,0.935342689347266,0.07295877247296108,0.02644675289664173,0.18537282869822302,-0.01675699633024062
beta,variable,3,1229,0.4564686737184703,0.43734436000490334,0.9069774888725224,0.10606580774708142,0.03290963049258684,0.16463124372620797,-0.019124313713567
beta,variable,4,1119,0.4691689008042895,0.46426289536646387,0.9102613435946769,0.10629351342780996,0.042804289145348194,0.1749021833683191,-0.004906005437825609
beta,variable,5,903,0.5260243632336655,0.5186733986882625,0.911583866207575,0.11086239656240751,0.04188065047895175,0.2436581183272709,-0.00735096454540308
beta,variable,6,739,0.5561569688768606,0.5493957908574006,0.9080136193697703,0.11322407542531551,0.040189237102508726,0.21093070988722407,-0.0067611780194598275
beta,variable,7,596,0.6241610738255033,0.6064104316861454,0.8989535330261137,0.11675811590547558,0.05460187843371032,0.1480151359930717,-0.017750642139357987
beta,variable,8,479,0.6617954070981211,0.6439174387437492,0.9123924134439382,0.11329484027402409,0.058397973598378575,0.18509456081517933,-0.017877968354371866
beta,variable,9,415,0.6626506024096386,0.6484469798062115,0.9093506493506494,0.11456806037075003,0.045051751382977616,0.27089211717250217,-0.014203622603426981
beta,variable,10,343,0.6559766763848397,0.6477385405332328,0.90015065913371,0.12126938241924463,0.061188022327837,0.21971542952201747,-0.008238135851606848
beta,variable,11,285,0.6771929824561403,0.65900032534783,0.9106217616580311,0.11095072723118017,0.042266301386088376,0.1721213129814221,-0.018192657108310358
beta,variable,12,251,0.6932270916334662,0.672359707574261,0.8982683982683982,0.11933459712606456,0.05320607174097643,0.23974982298140918,-0.020867384059205192
beta,fixed,1,309,0.7508090614886731,0.6514230483311139,0.9123936408419167,0.11866787462742447,0.10041576696081758,0.24098570822280874,-0.09938601315755935
