k,feature,mean_abs_shap
1,cat__static__u_symptom_Symptom 86,0.0
1,cat__static__u_symptom_Symptom 87,0.0005981156718917191
1,cat__static__u_symptom_Symptom 9,0.0025219141971319914
1,cat__static__u_symptom___MISSING__,0.01686280407011509
1,cat__static__u_symptom_infrequent_sklearn,0.03012191317975521
1,cat__static__contact_type_Email,0.0
1,cat__static__contact_type_Phone,0.0
1,cat__static__location_Location 108,0.003329775296151638
1,cat__static__location_Location 111,0.0023201412986963987
1,cat__static__location_Location 113,8.07303367764689e-05
1,cat__static__location_Location 125,9.777705599844921e-06
1,cat__static__location_Location 128,0.000369763292837888
1,cat__static__location_Location 135,0.0022112932056188583
1,cat__static__location_Location 136,0.0010487036779522896
1,cat__static__location_Location 143,0.0027341695968061686
1,cat__static__location_Location 15,7.024277147138491e-05
1,cat__static__location_Location 161,0.02581322193145752
1,cat__static__location_Location 165,0.0
1,cat__static__location_Location 173,0.006168636027723551
1,cat__static__location_Location 179,0.0020578147377818823
1,cat__static__location_Location 18,9.874058741843328e-05
1,cat__static__location_Location 188,0.0015599897596985102
1,cat__static__location_Location 197,5.837338903802447e-06
1,cat__static__location_Location 199,0.0
1,cat__static__location_Location 204,0.014668017625808716
1,cat__static__location_Location 209,0.0
1,cat__static__location_Location 210,7.91834099800326e-06
1,cat__static__location_Location 229,0.0
1,cat__static__location_Location 242,0.0
1,cat__static__location_Location 245,0.0002313739387318492
1,cat__static__location_Location 34,0.0009217807091772556
1,cat__static__location_Location 35,0.00019977655028924346
1,cat__static__location_Location 36,0.00042769432184286416
1,cat__static__location_Location 37,0.002072863979265094
1,cat__static__location_Location 38,0.00024011445930227637
1,cat__static__location_Location 39,0.0
1,cat__static__location_Location 40,0.0
1,cat__static__location_Location 41,0.0002686959342099726
1,cat__static__location_Location 42,0.003388239536434412
1,cat__static__location_Location 43,0.0004844634677283466
1,cat__static__location_Location 44,0.0
1,cat__static__location_Location 45,1.1168905984959565e-05
1,cat__static__location_Location 46,0.0005201307940296829
1,cat__static__location_Location 47,0.0
1,cat__static__location_Location 51,0.00244597508572042
1,cat__static__location_Location 54,0.0006421907455660403
1,cat__static__location_Location 55,0.00021530073718167841
1,cat__static__location_Location 56,0.0
1,cat__static__location_Location 69,0.0020984818693250418
1,cat__static__location_Location 70,0.0008557444671168923
1,cat__static__location_Location 71,0.0007057950715534389
1,cat__static__location_Location 82,0.0004914592718705535
1,cat__static__location_Location 91,0.00037721425178460777
1,cat__static__location_Location 93,0.01279706135392189
1,cat__static__location_Location 96,0.0017827135743573308
1,cat__static__location_Location 97,0.00017746629600878805
1,cat__static__location_infrequent_sklearn,0.011784165166318417
1,cat__static__impact_1 - High,0.0007085140096023679
1,cat__static__impact_2 - Medium,0.004809938836842775
1,cat__static__impact_3 - Low,0.0033274730667471886
1,cat__static__urgency_1 - High,0.0010348557261750102
1,cat__static__urgency_2 - Medium,0.0019371849484741688
1,cat__static__urgency_3 - Low,0.012232409790158272
1,cat__static__caller_id_Caller 1062,0.00014387708506546915
1,cat__static__caller_id_Caller 1129,0.0037277117371559143
1,cat__static__caller_id_Caller 1182,0.0010850172257050872
1,cat__static__caller_id_Caller 1270,0.0
1,cat__static__caller_id_Caller 1441,0.0002073275245493278
1,cat__static__caller_id_Caller 1517,0.00024983202456496656
1,cat__static__caller_id_Caller 1519,0.0
1,cat__static__caller_id_Caller 1531,0.0
1,cat__static__caller_id_Caller 1546,0.000987374223768711
1,cat__static__caller_id_Caller 156,0.0
1,cat__static__caller_id_Caller 1904,0.00953973364084959
1,cat__static__caller_id_Caller 203,0.0011107054306194186
1,cat__static__caller_id_Caller 225,0.00014075056242290884
1,cat__static__caller_id_Caller 2377,0.0007762853056192398
1,cat__static__caller_id_Caller 2416,1.5537329090875573e-05
1,cat__static__caller_id_Caller 2435,0.0
1,cat__static__caller_id_Caller 2471,4.358263686299324e-05
1,cat__static__caller_id_Caller 2691,4.6007779019419104e-05
1,cat__static__caller_id_Caller 298,0.0
1,cat__static__caller_id_Caller 3038,0.0
1,cat__static__caller_id_Caller 3081,0.0009422068251296878
1,cat__static__caller_id_Caller 3136,0.0
1,cat__static__caller_id_Caller 3160,0.00020126371236983687
1,cat__static__caller_id_Caller 318,0.0011829519644379616
1,cat__static__caller_id_Caller 3329,0.00034551433054730296
1,cat__static__caller_id_Caller 337,0.000723049568478018
1,cat__static__caller_id_Caller 3388,0.0
1,cat__static__caller_id_Caller 3479,0.00012565522047225386
1,cat__static__caller_id_Caller 3763,0.0007563491817563772
1,cat__static__caller_id_Caller 3933,0.0
1,cat__static__caller_id_Caller 3986,0.0003805661981459707
1,cat__static__caller_id_Caller 4316,0.0
1,cat__static__caller_id_Caller 4414,0.0
1,cat__static__caller_id_Caller 4475,0.0001229619956575334
1,cat__static__caller_id_Caller 4514,6.087696965551004e-05
1,cat__static__caller_id_Caller 4710,0.0021688062697649
1,cat__static__caller_id_Caller 4893,0.0012867562472820282
1,cat__static__caller_id_Caller 501,0.0
1,cat__static__caller_id_Caller 5093,0.0
1,cat__static__caller_id_Caller 512,0.0
1,cat__static__caller_id_Caller 5368,0.0
1,cat__static__caller_id_Caller 671,0.0
1,cat__static__caller_id_Caller 68,0.00021998892771080136
1,cat__static__caller_id_Caller 685,4.4150016037747264e-05
1,cat__static__caller_id_Caller 723,0.00022583368991035968
1,cat__static__caller_id_Caller 92,0.0
1,cat__static__caller_id_Caller 920,0.0
1,cat__static__caller_id_Caller 93,0.00086551922140643
1,cat__static__caller_id_Caller 944,0.0003205665561836213
1,cat__static__caller_id_infrequent_sklearn,0.0011212473036721349
1,cat__static__opened_by_Opened by  108,0.0003738870145753026
1,cat__static__opened_by_Opened by  131,0.01682038977742195
1,cat__static__opened_by_Opened by  168,0.00036502734292298555
1,cat__static__opened_by_Opened by  17,0.011362164281308651
1,cat__static__opened_by_Opened by  174,0.0
1,cat__static__opened_by_Opened by  180,0.004863619804382324
1,cat__static__opened_by_Opened by  20,0.00023792717547621578
1,cat__static__opened_by_Opened by  221,0.0020129417534917593
1,cat__static__opened_by_Opened by  228,0.0
1,cat__static__opened_by_Opened by  239,0.0016279879491776228
1,cat__static__opened_by_Opened by  24,0.009013831615447998
1,cat__static__opened_by_Opened by  240,0.0
1,cat__static__opened_by_Opened by  242,0.0
1,cat__static__opened_by_Opened by  247,0.0013340195873752236
1,cat__static__opened_by_Opened by  257,0.0
1,cat__static__opened_by_Opened by  267,0.0
1,cat__static__opened_by_Opened by  301,0.0007332612294703722
1,cat__static__opened_by_Opened by  305,0.00020846666302531958
1,cat__static__opened_by_Opened by  325,0.001320682349614799
1,cat__static__opened_by_Opened by  360,0.0013365254271775484
1,cat__static__opened_by_Opened by  381,0.0
1,cat__static__opened_by_Opened by  386,0.0026694994885474443
1,cat__static__opened_by_Opened by  390,0.009273383766412735
1,cat__static__opened_by_Opened by  397,0.03561681509017944
1,cat__static__opened_by_Opened by  40,0.001872697495855391
1,cat__static__opened_by_Opened by  402,6.836171087343246e-05
1,cat__static__opened_by_Opened by  433,7.30986866983585e-05
1,cat__static__opened_by_Opened by  44,0.00032693648245185614
1,cat__static__opened_by_Opened by  443,0.000607544498052448
1,cat__static__opened_by_Opened by  444,0.0
1,cat__static__opened_by_Opened by  460,0.0003054774715565145
1,cat__static__opened_by_Opened by  463,0.0015418471302837133
1,cat__static__opened_by_Opened by  468,0.0
1,cat__static__opened_by_Opened by  47,0.00016711518401280046
1,cat__static__opened_by_Opened by  500,0.0009945648489519954
1,cat__static__opened_by_Opened by  501,0.001018449547700584
1,cat__static__opened_by_Opened by  512,0.0005760532803833485
1,cat__static__opened_by_Opened by  536,0.0009006343316286802
1,cat__static__opened_by_Opened by  55,0.0016334907850250602
