calibrator,cohort,k,n_k,base_rate_k,mean_pred,auc,brier,ece,mce,bias
isotonic,fixed,6,478,0.7301255230125523,0.6603784200775364,0.8007929632838009,0.18070487550506825,0.11315682093472416,0.418689498812673,-0.06974710293501578
isotonic,fixed,7,478,0.7301255230125523,0.7176698314304125,0.851347149108194,0.1530728310707554,0.08336771422677088,0.3451363939788599,-0.012455691582139862
isotonic,fixed,8,478,0.7301255230125523,0.7573156162042358,0.8824548544012794,0.13774645814531572,0.09298650884122765,0.2889263810796194,0.027190093191683626
beta,variable,1,5707,0.23199579463816367,0.2664700926818541,0.7482317185390134,0.16116281758248927,0.06877159089310476,0.2677032887051537,0.034474298043690496
beta,variable,2,3587,0.35098968497351546,0.3822482137507247,0.7121745767245591,0.20673506074027073,0.10109129314140176,0.31713151961483266,0.03125852877720928
beta,variable,3,2555,0.43796477495107633,0.48671240742713,0.7618238155336664,0.20257340146290792,0.10515004731714349,0.28518118718037866,0.048747632476053744
beta,variable,4,1829,0.5079278294149808,0.5567473627698898,0.7901758162899175,0.19535197389197176,0.10349310753118951,0.2677973919885196,0.048819533354908906
beta,variable,5,1346,0.5638930163447251,0.6293122338109659,0.8264662774699069,0.18134976840600447,0.11178162651040136,0.21961368308214785,0.06541921746624087
beta,variable,6,934,0.6231263383297645,0.6734345015489142,0.8442478912839737,0.1691110487142795,0.10066618292874736,0.2384173648444116,0.05030816321914998
beta,variable,7,682,0.6730205278592375,0.7228267114270838,0.86594956866653,0.15582650445241852,0.10956057399533696,0.2991999023596409,0.04980618356784626
beta,variable,8,478,0.7301255230125523,0.7571008593841525,0.8873858865862597,0.134853266908318,0.09082322782589011,0.27902298926101865,0.02697533637160012
beta,fixed,1,478,0.7301255230125523,0.3747001214963496,0.6184669376513183,0.3502342465110833,0.3767211538123005,0.5255756104064486,-0.35542540151620267
beta,fixed,2,478,0.7301255230125523,0.43580814446884036,0.6311499078207947,0.31796786244129377,0.32830455195427966,0.5114135840331919,-0.29431737854371187
beta,fixed,3,478,0.7301255230125523,0.5097073505359719,0.6924768441394016,0.26316965852699964,0.24889650877829875,0.45536202018068817,-0.22041817247658038
beta,fixed,4,478,0.7301255230125523,0.5556430290008711,0.7250394260456231,0.2343171663253614,0.2025885043941628,0.4438068113594429,-0.17448249401168112
beta,fixed,5,478,0.7301255230125523,0.6164724654642961,0.7718398080895582,0.19898673229259545,0.14006989254308144,0.4795006744282607,-0.11365305754825616
beta,fixed,6,478,0.7301255230125523,0.6594033912130612,0.8030252548810555,0.17837986197492933,0.11222898266997175,0.38824728257276336,-0.070722131799491
beta,fixed,7,478,0.7301255230125523,0.7179142443054837,0.8507585349059328,0.1513795017076618,0.08580025857213561,0.32042703907067716,-0.012211278707068512
beta,fixed,8,478,0.7301255230125523,0.7571008593841525,0.8873858865862597,0.134853266908318,0.09082322782589011,0.27902298926101865,0.02697533637160012
prior_shift_em,variable,1,5707,0.23199579463816367,0.08146541897713283,0.7482317185390134,0.17992905954555702,0.15213223007600074,0.28933451350167894,-0.1505303756610309
prior_shift_em,variable,2,3587,0.35098968497351546,0.14594734105070742,0.7121745767245591,0.2362595580346713,0.2050423439228081,0.4099556355340173,-0.2050423439228081
prior_shift_em,variable,3,2555,0.43796477495107633,0.23989161024881597,0.7618238155336664,0.22766532075746038,0.19807316470226027,0.2738713233511414,-0.19807316470226027
prior_shift_em,variable,4,1829,0.5079278294149808,0.30781126241444284,0.7901758162899175,0.22688971703629823,0.20011656700053806,0.28963203987615205,-0.20011656700053806
prior_shift_em,variable,5,1346,0.5638930163447251,0.396400578204153,0.8264662774699069,0.2000853175839226,0.16749243814057213,0.2846162212892698,-0.16749243814057213
prior_shift_em,variable,6,934,0.6231263383297645,0.4602045004034308,0.8442478912839737,0.1934681658734001,0.16441729664368046,0.29710668961113745,-0.16292183792633377
prior_shift_em,variable,7,682,0.6730205278592375,0.5288778286530944,0.86594956866653,0.1695789638146671,0.14593532756043773,0.3349518653493716,-0.14414269920614317
prior_shift_em,variable,8,478,0.7301255230125523,0.5904881959242284,0.8873858865862597,0.1544742474097719,0.13963732708832394,0.4481703605614352,-0.13963732708832394
prior_shift_em,fixed,1,478,0.7301255230125523,0.11848521090107633,0.6184669376513183,0.5830409052086089,0.6208181157345654,0.6704893648481449,-0.611640312111476
prior_shift_em,fixed,2,478,0.7301255230125523,0.17970091261131194,0.6311499078207947,0.5300627197469596,0.5613322150670221,0.6401400871378589,-0.5504246104012405
prior_shift_em,fixed,3,478,0.7301255230125523,0.2581448714731152,0.6924768441394016,0.4493293007976144,0.4741725249192195,0.6424098710292296,-0.4719806515394372
prior_shift_em,fixed,4,478,0.7301255230125523,0.30189558420115636,0.7250394260456231,0.4035926905795794,0.4295098449672599,0.6277578439503505,-0.428229938811396
prior_shift_em,fixed,5,478,0.7301255230125523,0.37891085135897046,0.7718398080895582,0.3318457516851421,0.3536205044820962,0.5587060257478345,-0.35121467165358183
prior_shift_em,fixed,6,478,0.7301255230125523,0.43945135005013664,0.8030252548810555,0.28009735880362213,0.29067417296241566,0.5910096588602309,-0.29067417296241566
prior_shift_em,fixed,7,478,0.7301255230125523,0.5231358357497123,0.8507585349059328,0.20538488732631272,0.20698968726284003,0.4805707795227573,-0.20698968726284003
prior_shift_em,fixed,8,478,0.7301255230125523,0.5904881959242284,0.8873858865862597,0.1544742474097719,0.13963732708832394,0.4481703605614352,-0.13963732708832394
platt_then_prior_shift,variable,1,5707,0.23199579463816367,0.10216766412599562,0.7482317185390134,0.1725047700220572,0.1324358918199991,0.21722695648936496,-0.12982813051216807
platt_then_prior_shift,variable,2,3587,0.35098968497351546,0.1760425313371138,0.7121745767245591,0.2254016425180943,0.17822459328144977,0.24965249304690754,-0.17494715363640165
platt_then_prior_shift,variable,3,2555,0.43796477495107633,0.276937338987389,0.7618238155336664,0.21530154966861473,0.16246620264073935,0.2483127840358985,-0.16102743596368735
platt_then_prior_shift,variable,4,1829,0.5079278294149808,0.34823116169345536,0.7901758162899175,0.21226586749539078,0.164367091003228,0.2356672691183674,-0.15969666772152552
platt_then_prior_shift,variable,5,1346,0.5638930163447251,0.43821342453485096,0.8264662774699069,0.18736336939894754,0.13848145442288423,0.2578691044961353,-0.1256795918098742
platt_then_prior_shift,variable,6,934,0.6231263383297645,0.5024597832021099,0.8442478912839737,0.18111689603231115,0.13967325680489806,0.28045778185127535,-0.12066655512765455
