k,bin,n,mean_pred,observed
11,"(0.7, 0.8]",12,0.7450940728686715,0.75
11,"(0.8, 0.9]",29,0.8607357423209876,0.8275862068965517
11,"(0.9, 1.0]",121,0.9689593638311338,0.9504132231404959
12,"(-0.001, 0.1]",20,0.0561896027242819,0.1
12,"(0.1, 0.2]",25,0.14691338235866552,0.32
12,"(0.2, 0.3]",11,0.24777244341968527,0.36363636363636365
12,"(0.3, 0.4]",10,0.3488465231483753,0.4
12,"(0.4, 0.5]",9,0.44423633376207916,0.6666666666666666
12,"(0.5, 0.6]",12,0.56437147781902,0.6666666666666666
12,"(0.6, 0.7]",16,0.6388101440469987,0.5
12,"(0.7, 0.8]",17,0.7574247775569101,0.7647058823529411
12,"(0.8, 0.9]",22,0.8560858553745013,0.8636363636363636
12,"(0.9, 1.0]",109,0.9717061314859178,0.9357798165137615
