k,bin,n,mean_pred,observed
11,"(0.5, 0.6]",28,0.562099266364442,0.7142857142857143
11,"(0.6, 0.7]",34,0.6556750698192241,0.7058823529411765
11,"(0.7, 0.8]",28,0.7514356962708136,0.9285714285714286
11,"(0.8, 0.9]",33,0.8384045145303347,0.9090909090909091
11,"(0.9, 1.0]",25,0.9483103374791216,0.88
12,"(-0.001, 0.1]",21,0.06731195588347579,0.38095238095238093
12,"(0.1, 0.2]",25,0.1512078706668398,0.36
12,"(0.2, 0.3]",25,0.25494969569700027,0.68
12,"(0.3, 0.4]",23,0.34594634929357415,0.5217391304347826
12,"(0.4, 0.5]",23,0.4445948239556737,0.782608695652174
12,"(0.5, 0.6]",26,0.5541887065822692,0.5769230769230769
12,"(0.6, 0.7]",25,0.6528663325188332,0.88
12,"(0.7, 0.8]",17,0.7444420201858213,0.8823529411764706
12,"(0.8, 0.9]",40,0.8483506067891978,0.925
12,"(0.9, 1.0]",26,0.9431326214020531,0.8076923076923077
